가설번호,가설,검정유형,데이터셋,X변수,Y변수,대립가설방향,비고
H1,H1 공시지가 상승률이 높은 지역일수록 프랜차이즈 침투율이 높을 것이다,상관검정,h1_data,land_price_growth,franchise_ratio,greater,
H2,H2 거래 발생 지역에서 공시지가 상승률이 높을수록 상업용 부동산 거래량이 많을 것이다,상관검정,h2_data_positive,land_price_growth,transaction_cnt,greater,
H2,H2 공시지가 상승률이 높은 지역일수록 상업용 부동산 거래량이 많을 것이다,상관검정,h2_data,land_price_growth,transaction_cnt,greater,
H3-1,H3-1 지하철 이용량은 개업률과 관련이 있다,상관검정,main_subway,subway_total_usage,open_rate,two-sided,
H3-2,H3-2 지하철 이용량은 폐업률과 관련이 있다,상관검정,main_subway,subway_total_usage,close_rate,two-sided,
H3-3,H3-3 지하철 이용량은 프랜차이즈 침투율과 관련이 있다,상관검정,main_subway,subway_total_usage,franchise_ratio,two-sided,
H4,H4 외부유입 비율이 높은 행정동일수록 부동산 거래량이 많을 것이다,상관검정,h4_data,external_inflow_ratio,transaction_cnt,greater,
H5,H5 외부유입이 증가한 행정동일수록 공시지가 상승률이 높을 것이다,상관검정,h5_data,external_inflow_growth,land_price_growth,greater,
H6-1,H6-1 평균 체류시간이 긴 행정동일수록 매출액이 높을 것이다,상관검정,h6_data,stay_time_weighted,sales_amt,greater,
H6-2,H6-2 평균 체류시간이 긴 행정동일수록 객단가가 높을 것이다,상관검정,h6_data,stay_time_weighted,avg_ticket,greater,
H7-1,H7-1 버스 승하차가 높은 행정동일수록 유동인구가 많을 것이다,상관검정,h7_data,bus_total_usage,floating_pop,greater,
H7-2,H7-2 버스 승하차가 높은 행정동일수록 외부유입이 많을 것이다,상관검정,h7_data,bus_total_usage,external_inflow,greater,
H8,"H8 유동인구 증가, 외부유입 증가, 체류시간 증가가 동시에 나타나는 행정동은 젠트리피케이션 위험도가 높을 것이다",위험점수/신호 산출,"risk_base, risk_score_summary",floating_pop_growth; external_inflow_growth; stay_time_growth,triple_growth_signal; growth_pressure_score,,상관검정이 아니라 위험 후보지 산출 로직
H9,H9 객단가 상승률이 카드소비 매출액 상승률보다 높은 행정동일수록 고소득층 전입 증가율이 높을 것이다,상관검정,h9_data,premium_gap,high_income_inflow_growth,greater,
H10-1,H10-1 유동인구가 높은 행정동일수록 프랜차이즈 점포수가 많을 것이다,상관검정,main,floating_pop,franchise_cnt,greater,
H10-2,H10-2 유동인구가 높은 행정동일수록 프랜차이즈 침투율이 높을 것이다,상관검정,main,floating_pop,franchise_ratio,greater,
H11,H11 외부유입이 높은 행정동일수록 업종 다양성이 낮아질 것이다,상관검정,h11_data,external_inflow_ratio,industry_diversity_H,less,
H12,H12 지하철 이용량이 많은 행정동일수록 외부유입 비율이 높을 것이다,상관검정,h12_data,subway_total_usage,external_inflow_ratio,greater,
H13-1,H13-1 버스 승하차 이용량과 매출액은 관련이 있을 것이다,상관검정,h13_data,bus_total_usage,sales_amt,two-sided,
H13-2,H13-2 버스 승하차 이용량과 객단가는 관련이 있을 것이다,상관검정,h13_data,bus_total_usage,avg_ticket,two-sided,
H14-1,H14-1 방문 목적 비중 변화가 큰 행정동일수록 업종 다양성 변화도 클 것이다,상관검정,h14_data,purpose_change_score,industry_diversity_change_abs,two-sided,
H14-2,H14-2 방문 목적 비중 변화가 큰 행정동일수록 신생점포 잔존율 변화도 클 것이다,상관검정,h14_data,purpose_change_score,survival_rate_change_abs,two-sided,
H14-3,H14-3 방문 목적 비중 변화가 큰 행정동일수록 개업률 변화도 클 것이다,상관검정,h14_data,purpose_change_score,open_rate_change_abs,two-sided,
H14-4,H14-4 방문 목적 비중 변화가 큰 행정동일수록 폐업률 변화도 클 것이다,상관검정,h14_data,purpose_change_score,close_rate_change_abs,two-sided,
H14-5,H14-5 이동 수단 비중 변화가 큰 행정동일수록 업종 다양성 변화도 클 것이다,상관검정,h14_data,transport_change_score,industry_diversity_change_abs,two-sided,
H14-6,H14-6 이동 수단 비중 변화가 큰 행정동일수록 신생점포 잔존율 변화도 클 것이다,상관검정,h14_data,transport_change_score,survival_rate_change_abs,two-sided,
H14-7,H14-7 이동 수단 비중 변화가 큰 행정동일수록 개업률 변화도 클 것이다,상관검정,h14_data,transport_change_score,open_rate_change_abs,two-sided,
H14-8,H14-8 이동 수단 비중 변화가 큰 행정동일수록 폐업률 변화도 클 것이다,상관검정,h14_data,transport_change_score,close_rate_change_abs,two-sided,
H15,H15 프랜차이즈 침투율이 높은 행정동일수록 객단가 변동성은 낮을 것이다,변동성 그룹 비교,h15_data,"franchise_ratio 그룹(상위 25%, 하위 25%)",avg_ticket_volatility,높은 그룹 변동성 < 낮은 그룹 변동성,행정동별 avg_ticket 표준편차를 생성해 Welch/Mann-Whitney 검정
H16,H16 상권의 진입·퇴출 변동성이 큰 행정동일수록 신생 점포의 1년 잔존율은 낮아질 것이다,상관검정,h16_data,business_turnover_rate,survival_rate_1y,less,
H17,H17 경제활동 대상이 많은 곳은 유동인구가 많다,제외,,경제활동 대상 인구 변수 없음,floating_pop,greater,현재 통합 데이터셋에 생산가능인구/경제활동인구 변수 없음
H18,H18 전입 인구의 소득수준이 높은 행정동일수록 객단가가 높을 것이다,상관검정,h18_data,전입_소득수준_가중평균_분기,avg_ticket,greater,
